nodenumber,int-01_acu_33321.dat,int-01_acu_33331.dat,int-01_acu_33341.dat,int-01_acu_33351.dat,int-01_acu_33361.dat,int-01_acu_33371.dat,int-01_acu_33381.dat,int-01_acu_33391.dat,int-01_acu_33401.dat,int-01_acu_33411.dat,int-01_acu_33421.dat,int-01_acu_33431.dat,int-01_acu_33441.dat,int-01_acu_33451.dat,int-01_acu_33461.dat,int-01_acu_33471.dat,int-01_acu_33481.dat,int-01_acu_33491.dat,int-01_acu_33501.dat,int-01_acu_33511.dat,int-01_acu_33521.dat,int-01_acu_33531.dat,int-01_acu_33541.dat,int-01_acu_33551.dat,int-01_acu_33561.dat,int-01_acu_33571.dat,int-01_acu_33581.dat,int-01_acu_33591.dat,int-01_acu_33601.dat,int-01_acu_33611.dat,int-01_acu_33621.dat,int-01_acu_33631.dat,int-01_acu_33641.dat,int-01_acu_33651.dat,int-01_acu_33661.dat,int-01_acu_33671.dat,int-01_acu_33681.dat,int-01_acu_33691.dat,int-01_acu_33701.dat,int-01_acu_33711.dat,int-01_acu_33721.dat,int-01_acu_33731.dat,int-01_acu_33741.dat,int-01_acu_33751.dat,int-01_acu_33761.dat,int-01_acu_33771.dat,int-01_acu_33781.dat,int-01_acu_33791.dat,int-01_acu_33801.dat,int-01_acu_33811.dat
1,(30.990650009800113+0j),(5511.698478444532-7739.206327774022j),(-7071.369309671292+7240.676078238103j),(4492.460985293059+359.1806513896224j),(276.5331172713328+7744.1637779144885j),(-8006.327209673089-4074.748753606197j),(-9104.923079499873+7792.353997223672j),(-2195.2257548987113-1355.38430317698j),(3955.503610780954+2053.775177288103j),(-3099.4439993404585+13614.187805893602j),(2857.0217619228424+3824.1657044166477j),(-14013.343001271687+11310.111081329534j),(6910.339997330891+2651.0722169266655j),(2110.260004697696+1426.0072833542577j),(1650.9210402326257+1982.8537107973352j),(-4428.451471441576-4434.854383456423j),(4329.236339767641-5805.685317542611j),(476.11925720548226-1841.4222995058285j),(-3428.3720740376984+2214.254709335918j),(-2378.8265762261763-4248.892112009889j),(-12479.786573565503+3861.678757401987j),(3289.232655205499+310.0780045734914j),(-1293.6506187980776+2.9890550416052406j),(-4456.694600967586+1920.004868335173j),(3182.332722986495+1314.710900551575j),(267.2239094101843-1218.2698949668188j),(2802.2307034611044-4373.466237618774j),(-153.0756405337294-2220.196516435742j),(1716.774645837021-3402.09780147855j),(2116.8792840360584-3486.3330527346793j),(468.7257685030855+2180.6559455113725j),(-1259.2314626650607-2094.9592967999724j),(-2322.584538821626-1734.5855335719693j),(-1192.3561218329853+7406.564064850403j),(1837.2652422500878+279.5253688845271j),(165.55994896838448+770.6963011332509j),(-3770.2700006482955-7976.011025321409j),(1653.671978646967-3843.3978122307008j),(7769.2519645896855-2384.1815568187903j),(-1044.29528326778-1162.8675288533273j),(3557.1048849532576+486.2553767919597j),(-3878.035512264746-620.4945801522708j),(6660.75802924209-1144.6054108758356j),(1776.660054026615+1031.255191950705j),(3689.698778574804+2714.9924128158063j),(1205.073419273559+1129.1896976912683j),(-1584.222034719716+1629.4199216246732j),(-2403.668483121396-4192.211848569967j),(6272.012137066467-1267.6258097043453j),(-6358.0824625075375+2857.0234721610323j)
2,(30.59028302940707+0j),(5522.188869264011-7744.578683676766j),(-7045.401912007805+7245.519054948268j),(4536.392861518089+362.288020466723j),(287.2032454340283+7759.9873624583015j),(-7987.914955414251-4018.80186272787j),(-9074.718389922247+7830.062618822683j),(-2185.2968747838086-1348.9862096685442j),(4002.8033489753498+2058.4423114967585j),(-3021.874782993977+13602.894626041107j),(2925.7705165435755+3839.712518293065j),(-13920.14571041289+11415.146943476666j),(6974.656810235361+2610.237777957953j),(2149.9797292822586+1423.967698926701j),(1704.7583885611252+1945.4724609015002j),(-4428.509521099554-4418.29465724443j),(4331.053164180462-5845.443514512665j),(512.3969781564742-1850.2691609457588j),(-3394.4595080474387+2235.262412585524j),(-2371.846926963517-4226.881389062704j),(-12410.91549530964+4034.0016464186865j),(3320.5258939620153+285.3375078985882j),(-1279.3500036901366+32.6346728245129j),(-4395.581459778443+2001.020836666232j),(3244.033929451901+1275.6825381834853j),(303.8870872522858-1236.3599150025589j),(2760.7245603069123-4438.210845769911j),(-150.99991508608363-2233.038179084825j),(1697.4191635483307-3437.212801446622j),(2070.7103191517635-3517.266622838148j),(554.2572249697045+2175.148130221178j),(-1280.4295419474654-2081.305050879706j),(-2344.913365728508-1673.6036914449128j),(-999.3170343704+7445.565980374928j),(1884.7015483408659+257.5638107413706j),(210.22115625061755+766.2456630308805j),(-3917.8212631176375-7924.341601422126j),(1601.2830207440668-3887.9505163720683j),(7776.720152039633-2576.2472130963283j),(-1033.3206122522242-1143.36073116237j),(3607.8046701808+396.38209796656486j),(-3842.5275477951172-501.8271100786289j),(6677.878825786909-1322.2119203257253j),(1836.918973124228+994.5851656186081j),(3784.070116118359+2639.8497385216333j),(1251.1902197580814+1109.3701715725347j),(-1514.9814878459977+1686.236016766487j),(-2502.6353317677404-4131.020349819099j),(6237.918831055078-1444.2070893652835j),(-6244.894021081385+3028.7725304150786j)
3,(30.063443947947434+0j),(5517.937379118937-7737.262988427668j),(-7039.464850189582+7249.442956657199j),(4536.393143814658+366.4648007728436j),(286.9047750740003+7761.078202439143j),(-7986.162631416169-4014.0688808284685j),(-9074.364881879945+7832.938854979981j),(-2183.5182542277207-1347.2165344946543j),(4005.151287201022+2059.9183379241103j),(-3021.020392404872+13599.915734562323j),(2928.3668995123944+3840.865678894919j),(-13919.072615469144+11416.28398164792j),(6974.774550772868+2608.6718876186096j),(2147.523945765279+1425.287559233071j),(1706.7098315376475+1943.7265385699898j),(-4431.874651048427-4414.900446567137j),(4328.812436077173-5843.91869078548j),(514.1613790737581-1851.5268009651495j),(-3393.8175151096407+2236.387327551857j),(-2370.7858568395295-4225.870134329247j),(-12405.026674709583+4041.1924767412893j),(3322.190649831481+283.9364395787891j),(-1280.7747326743317+38.16942351441884j),(-4390.211064393551+2008.541545949378j),(3242.839676617411+1273.7409645392036j),(308.45672663601664-1235.7507511649437j),(2758.921597624133-4436.400855152082j),(-150.68513345317533-2232.6219731439546j),(1700.2111080125314-3437.2793481298245j),(2077.1172116053585-3521.7221873012872j),(556.7830690522851+2174.410449626099j),(-1279.405242414466-2077.686103037738j),(-2345.6725412916735-1664.4377081908876j),(-995.4467669944412+7444.814550902138j),(1884.1066739443982+255.17744051020284j),(206.42614903117112+765.760457821556j),(-3920.805015795355-7923.121390229378j),(1599.3081443504657-3888.1947879066893j),(7777.826398680801-2582.7256814259667j),(-1037.4427268182167-1145.0101891346274j),(3612.2220769009923+393.2250544171375j),(-3837.697400997152-497.02403916876074j),(6678.811376900117-1327.543032949254j),(1837.3686529952697+988.4954282495323j),(3786.287906445723+2635.7866748193555j),(1254.721765270736+1111.292640067746j),(-1512.779215596828+1684.4907258980547j),(-2506.457407646116-4124.25519934741j),(6231.509289342417-1445.8614200724264j),(-6241.114385861643+3032.9339779772786j)
4,(29.594108955191736+0j),(5513.3638374575985-7727.976123603983j),(-7032.380099442865+7250.299791259826j),(4534.694409964277+368.30027120598965j),(281.11622466535744+7763.654547632381j),(-7986.241907851257-4003.2547387191544j),(-9074.624056434015+7832.60848721748j),(-2182.1807295789304-1345.2614997922074j),(4008.5882718255607+2059.993661987165j),(-3021.253907269969+13591.892954005625j),(2929.6927231325144+3842.370636438707j),(-13914.321140493952+11416.795262307132j),(6977.421558536649+2606.614926716993j),(2145.3926141037186+1431.2911440964454j),(1708.986217771041+1936.7273617457454j),(-4432.6801628614585-4411.213610994832j),(4326.147821393751-5841.554352049774j),(517.4641741129867-1851.0970751875764j),(-3392.1861547021144+2235.9535593268647j),(-2366.4590121132887-4226.839156796346j),(-12395.473172486116+4051.009092864748j),(3324.7977196480197+283.7207327751822j),(-1282.487356143365+45.759761656108765j),(-4382.091048240833+2017.6362975570519j),(3241.393973552042+1270.7657763126479j),(317.4385299072043-1233.7440399965567j),(2754.679060390414-4434.081889419192j),(-151.50099542955672-2233.732288496455j),(1702.8038987764453-3437.87925982231j),(2079.909719046909-3523.8909709695045j),(557.9384692894212+2176.6598569343987j),(-1279.2743774282828-2075.3557464198952j),(-2344.308757613967-1653.5979579361215j),(-990.5706935443312+7444.9686134335525j),(1884.675296593976+257.7741059785275j),(202.1167550682982+767.2185336980722j),(-3923.918502334295-7921.345921933502j),(1595.2430036365224-3889.554948425239j),(7779.62894963563-2591.8195310017954j),(-1042.3588256368807-1148.1538564909606j),(3615.3371033623234+392.1825825661805j),(-3832.701928540525-490.80909910470973j),(6681.615542076338-1337.8771130814177j),(1839.1255617365564+983.481146068917j),(3788.634204944696+2637.413548872397j),(1254.4236357498341+1114.3306814491793j),(-1507.7912220214673+1684.1304422649414j),(-2509.7697714497363-4115.803815164395j),(6223.259698692544-1450.1086290856488j),(-6237.947093506906+3034.791237226559j)
5,(29.114671002535047+0j),(5508.131730776232-7719.555393063948j),(-7026.02051092992+7251.01978483242j),(4534.414967844932+368.2622096914088j),(279.92976388622213+7763.92329240531j),(-7984.671508007054-3994.8339515132884j),(-9073.138816072722+7831.6534314881665j),(-2183.0369783368546-1344.0410136769801j),(4010.7712487087047+2060.00300113079j),(-3017.533652239853+13585.381398553744j),(2932.1636713170556+3841.31032287296j),(-13908.632938699568+11416.73056215298j),(6981.235103899498+2602.581918813489j),(2143.456895993825+1435.065218325453j),(1707.5494593883873+1932.6428620999545j),(-4432.904743022594-4407.878824993609j),(4323.364098321122-5838.978774111087j),(520.8420491613525-1849.1839215823948j),(-3388.8232085716863+2234.036441077391j),(-2362.280475560172-4228.087414857599j),(-12382.607023494349+4057.7300274054755j),(3327.098679311098+284.20882825344836j),(-1283.903504999171+52.75440578070091j),(-4376.37044558827+2023.7582067812411j),(3239.506472970017+1267.003612499881j),(326.2937292781995-1234.7359109103684j),(2752.5733295769483-4433.5317236217115j),(-152.5123108318578-2234.9006201016227j),(1704.1493965556558-3438.6236972812835j),(2079.777831370853-3525.2611941082437j),(560.2479736851111+2177.9193609405797j),(-1278.6933867478588-2071.5772367407276j),(-2343.6465671971855-1645.3881690763108j),(-985.3831084677244+7443.237663979753j),(1888.6986560123419+257.06475416243586j),(201.27636332952505+769.4076116348731j),(-3924.6920367324833-7915.581020615783j),(1591.8179003550467-3892.0069003633766j),(7778.292085628858-2600.8538564563814j),(-1045.8276775854838-1150.1933587370754j),(3617.4077262643577+390.43944636223455j),(-3828.795661445919-486.8912005685226j),(6677.996388089969-1347.33225932934j),(1839.4004178722125+979.0128380470594j),(3789.4855540486183+2637.7044192474614j),(1252.005017411039+1115.5401574297443j),(-1503.1251144246198+1682.5947022371238j),(-2510.9156032806904-4111.000250085217j),(6218.3663353467855-1454.0478265657307j),(-6234.5444137979175+3034.096712799835j)
6,(29.3793579988844+0j),(5505.49958128422-7709.827643550483j),(-7019.22763109923+7252.083843945855j),(4532.049763903682+366.7949229008648j),(281.5718164631224+7765.128045746328j),(-7983.65733188541-3988.4076141782766j),(-9069.645016480543+7830.632459023367j),(-2181.3492990804275-1342.7815120853927j),(4013.4347391954207+2059.0822550800913j),(-3014.8710392549788+13579.493680149542j),(2933.496062323382+3839.728070864508j),(-13899.292647548633+11417.555509297257j),(6983.400800590234+2599.42068752955j),(2144.7767082471746+1438.0436848780573j),(1709.5334733626516+1928.8312068086143j),(-4432.192141629965-4403.503533148683j),(4318.967748801213-5837.46695076944j),(522.1855847044699-1848.65239561054j),(-3385.348442632012+2234.3075148924195j),(-2359.351636695392-4228.691875014893j),(-12371.1805456693+4064.7085295639117j),(3329.9938786710754+285.5424530191483j),(-1284.5152854322064+58.557320131904625j),(-4371.548612171615+2029.0182400280046j),(3236.1667773833374+1261.8879478880508j),(333.2160063319007-1234.5455890778412j),(2749.1945101261826-4431.082254947687j),(-155.15207494253804-2235.9459808400397j),(1705.504419096951-3440.083408762096j),(2079.890979078873-3527.789232110483j),(563.0171367622179+2177.940369119623j),(-1277.782511871133-2070.2581367131415j),(-2340.2788841344-1638.080331730192j),(-980.7142276273747+7439.60424985095j),(1892.3103081453874+256.2679672874343j),(201.50960859983473+770.6827886448214j),(-3924.505007826464-7910.007101125935j),(1587.734333290161-3892.035376023279j),(7772.770637784786-2607.9014722822135j),(-1049.2440077740453-1150.6231588764733j),(3618.2933920568253+391.1660761590855j),(-3825.923925588667-484.5412068617435j),(6674.826483469392-1355.7843417037686j),(1841.3746651666077+975.2180155935939j),(3791.507714841701+2637.051155694163j),(1249.9005174453107+1117.270890092339j),(-1498.023021649192+1681.0482793860297j),(-2511.8098264812697-4105.879979108617j),(6212.204540176006-1459.4318440609834j),(-6228.921781776304+3034.896599464474j)
7,(28.455346016315573+0j),(5503.978211648339-7702.798886404302j),(-7013.163755760594+7250.778255064406j),(4529.992722060136+365.0800547849117j),(284.295139833602+7766.408688638554j),(-7982.18965235895-3983.684394078744j),(-9065.885786421763+7830.101351609213j),(-2180.589706651412-1341.5563036468723j),(4016.355748056398+2055.820198517128j),(-3009.9061139042205+13576.895585719365j),(2933.59440844833+3835.672007626982j),(-13889.754301806675+11418.29138151987j),(6986.175452711226+2596.8656657005895j),(2147.4382411141764+1439.5950115517433j),(1710.5904171429893+1926.7891355291504j),(-4430.086688332951-4399.169055663475j),(4313.977151693592-5836.684477688557j),(523.1518447749494-1845.9994746321297j),(-3381.645320474441+2235.2290901028764j),(-2358.5341130860406-4229.155158257972j),(-12359.491970878884+4069.70680128j),(3332.1573064461663+285.412294451745j),(-1283.1024854204302+63.15441012021521j),(-4366.485418611852+2032.6236726183045j),(3235.567507859916+1257.7363718868792j),(339.0655617930697-1233.6371288812977j),(2743.8495783541093-4430.865035031915j),(-156.09447706623055-2235.1481084384363j),(1703.4454474700265-3440.904013995059j),(2079.3739235599232-3527.7669500388956j),(565.2866731773538+2180.95918715079j),(-1275.1792557568306-2070.8735759108085j),(-2333.503481789952-1632.779568641939j),(-975.2911701508788+7436.7699901356245j),(1897.3714863487844+255.47030342739387j),(201.0268092538518+772.8740674976171j),(-3925.8996030808385-7902.010533546358j),(1585.1718548292697-3895.1704187419814j),(7767.306079075457-2614.1260315261998j),(-1053.076195135858-1149.2886543738339j),(3619.674370386931+391.1150780319209j),(-3824.8592551560437-483.5981124103175j),(6670.859270391748-1364.172913784171j),(1843.4973168716147+972.2693482281027j),(3795.090323700042+2634.1727670026444j),(1249.1978182917296+1118.1666886254611j),(-1492.6536518727758+1677.4325952609656j),(-2510.352952780804-4100.749548877291j),(6208.702036980071-1467.6505725858997j),(-6223.256014482944+3035.7746666781686j)
8,(28.940716008335457+0j),(5504.26362362514-7695.638695164438j),(-7007.160326206156+7252.1877730720435j),(4527.95895938286+360.5735325103075j),(291.30383383598974+7767.258010686915j),(-7981.470183658319-3981.858614012713j),(-9059.935994704863+7831.779150194275j),(-2179.9230662313785-1340.366262116278j),(4018.894551212199+2052.3674510718656j),(-3002.598831789578+13577.851242278171j),(2934.3864964065738+3830.998413310739j),(-13881.325629424917+11418.366947483602j),(6988.0178892206695+2594.20464709312j),(2150.77818489327+1440.6764473586277j),(1713.0029414176988+1927.8092555884944j),(-4428.624334429119-4395.628360379775j),(4308.433580351594-5837.233091991406j),(522.7814627443734-1845.6345630594087j),(-3376.6689961598554+2237.508048135715j),(-2358.328863220713-4230.9694974760505j),(-12348.15001946062+4072.68248407629j),(3334.8774802132803+284.19633130280465j),(-1281.6920816907104+67.6007607243216j),(-4363.092220085675+2034.3763637227557j),(3233.595078040221+1253.7539475962433j),(342.81581137288794-1234.492193616561j),(2740.8377247964954-4430.297254631202j),(-158.47690911899207-2233.7658930218395j),(1700.9849008552767-3441.889352440195j),(2078.416971225499-3528.1755144604695j),(567.3288066229047+2182.4304994384606j),(-1272.1411072765586-2068.4274302675663j),(-2327.176890439057-1630.9258836519841j),(-968.6399401457239+7432.691477026834j),(1901.2643674642486+251.87139343868876j),(203.8314257189622+773.60319950718j),(-3927.9056870082004-7892.048438374441j),(1581.8652406323897-3895.468365434661j),(7758.642528600292-2618.473145359545j),(-1056.9245602654585-1147.0816814188267j),(3621.2211934086836+391.7583701887738j),(-3825.3120751817623-483.10380061600335j),(6664.003959985677-1372.3504648452554j),(1845.3395177901762+968.9423160946913j),(3799.1651387641+2628.7130325561193j),(1248.198326342133+1116.3174353647937j),(-1487.4720666004628+1674.9453602606013j),(-2509.688235168068-4097.561054834334j),(6206.326205513913-1476.4589846582016j),(-6217.111527527148+3038.7639832146865j)
9,(28.24347595962186+0j),(5507.2019731995915-7689.579525365532j),(-7001.49735462241+7253.366730846934j),(4524.4486903003235+355.29839235442387j),(300.60341161424356+7766.115341217111j),(-7981.118194529196-3983.7691877442776j),(-9052.140283556415+7831.592635915815j),(-2179.0974126143474-1339.6144573663305j),(4021.730108860358+2047.9480563250854j),(-2994.797317193357+13578.893514431367j),(2932.8299282266785+3824.1315722918375j),(-13870.857727619077+11418.342208839105j),(6987.769870515467+2591.4686093245064j),(2157.0679279177143+1440.7447097969757j),(1716.5278220918217+1929.3352710710096j),(-4426.62006341829-4391.168312581747j),(4301.967305726085-5838.9978545736485j),(520.9490821937436-1844.662712531781j),(-3369.5857809577+2241.801762886968j),(-2359.248525554192-4232.751130194459j),(-12337.057924773542+4074.994873457468j),(3336.2821134693036+281.4419402272036j),(-1278.2619184622793+68.08623418436636j),(-4360.813017996097+2034.4984190207033j),(3232.0250299543354+1248.6410110142697j),(345.21936659594763-1235.4197437293665j),(2736.4982234577446-4429.53978926239j),(-160.73836883602712-2232.4672934428627j),(1697.5370653332168-3442.7176972139687j),(2076.4643831989442-3529.2871247388985j),(569.0975157131927+2184.072891747737j),(-1269.169810713-2068.1810582671937j),(-2319.3943839306776-1630.1169626037386j),(-961.2171715660584+7427.957726446222j),(1904.851211230164+247.4345006107448j),(208.04724323840537+774.0357323995865j),(-3929.8659295418292-7881.551871165368j),(1579.51953598289-3894.902147271968j),(7748.860321338243-2622.6707432834455j),(-1060.3470849699174-1142.7597562891572j),(3623.0748069601013+390.6230966928645j),(-3826.6593057758014-482.59634881201j),(6656.124844122889-1379.4966972168304j),(1848.362163257876+965.805938010041j),(3804.0670525470105+2622.936688784889j),(1248.709417685135+1115.2959832261472j),(-1482.6758129996251+1670.2343589989991j),(-2507.928558372154-4095.7120170100693j),(6204.953335481596-1486.557545384666j),(-6210.544799403378+3043.0080511246024j)
10,(27.287852126025697+0j),(5511.440084090214-7685.530477043107j),(-6996.7610149666925+7254.771045470441j),(4519.648609653739+350.7713233924997j),(314.2039930221791+7762.208032804456j),(-7980.404752815164-3987.504868866022j),(-9044.485249490353+7833.706395394763j),(-2176.5261417792644-1338.847731740355j),(4023.556679640685+2041.7552821797806j),(-2984.530377746958+13583.882501559037j),(2929.7104505009165+3815.8697521616896j),(-13859.686912851557+11418.041994188618j),(6985.5508158619705+2589.7655615537114j),(2165.123835989109+1438.3587399279686j),(1720.6907916741495+1932.3696664524064j),(-4423.711261678982-4387.059787581229j),(4294.472405795816-5841.691455365036j),(519.1613663309334-1844.9222275723594j),(-3363.319472358923+2247.564499378742j),(-2364.36256467318-4232.945543666554j),(-12327.818291854082+4073.9754202450686j),(3336.3657061391286+276.58754259305636j),(-1275.2427885225075+66.81131212331357j),(-4358.284445131683+2033.5128690195236j),(3230.349267577618+1242.7288067284976j),(345.1653368201593-1237.385417975157j),(2733.5712023015512-4427.740642180925j),(-162.66645540564593-2229.0421681909816j),(1693.1664727699222-3444.026967491457j),(2075.771508389159-3529.602369187908j),(568.827916231098+2185.112709328487j),(-1266.344520065436-2068.2941846797744j),(-2310.9301978917856-1633.4725850133211j),(-951.7101990478509+7422.353818053811j),(1907.014560888123+241.19539661474494j),(215.18962103139376+773.295686746554j),(-3929.7866557633583-7869.765656912748j),(1576.7512982562062-3894.541965610352j),(7738.324107428463-2625.6612522312416j),(-1061.2876871609838-1138.7855686261798j),(3624.5392538979577+389.5308152385201j),(-3830.3660746632186-482.24449482236173j),(6646.378459314926-1384.40846744607j),(1850.3864323384098+964.2634156850999j),(3808.529745229527+2613.7043589682835j),(1249.6855995473616+1114.0002353424034j),(-1479.1133107907863+1664.674070201993j),(-2505.6338047987497-4093.3537159642483j),(6206.2061723252245-1498.9512294685776j),(-6202.690943460077+3048.455038448384j)
