nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      co_ppm_dry,      no_ppm_dry,          o2_dry,         co2_dry,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
         1,-4.388838407E-02, 7.015500209E-01,-4.388838408E-02, 1.226631217E+03, 2.204312452E+03, 7.558557835E+00, 8.935387587E+00, 6.160615829E+00, 4.090056283E+00,-2.134306061E+00, 4.045208571E+00
         2,-4.388081583E-02, 7.054943218E-01,-4.388081583E-02, 1.316527017E+03, 2.257147469E+03, 7.464845733E+00, 9.049861844E+00, 4.045197648E+00, 2.327124266E+00,-1.473924094E+00, 2.839588311E+00
         3,-4.289072419E-02, 7.054943218E-01,-4.289072423E-02, 1.329290905E+03, 2.262526225E+03, 7.419461791E+00, 9.135173913E+00, 3.705754689E+00, 1.930072249E+00,-1.048269553E+00, 2.837364791E+00
         4,-4.289923370E-02, 7.015500000E-01,-4.289923381E-02, 1.240273125E+03, 2.210406503E+03, 7.508633124E+00, 9.024374603E+00, 5.697507144E+00, 3.752668742E+00,-1.665528083E+00, 3.901554614E+00
         5,-4.288117655E-02, 7.099191506E-01,-4.288117659E-02, 1.400874670E+03, 2.323291906E+03, 7.316489975E+00, 9.275940194E+00, 2.172306939E+00, 1.857538318E-01,-3.905830937E-01, 1.757394955E+00
         6,-4.387232555E-02, 7.099191506E-01,-4.387232556E-02, 1.387273686E+03, 2.317960277E+03, 7.357223900E+00, 9.195234169E+00, 2.247892998E+00, 5.306645449E-01,-7.537209538E-01, 1.677465627E+00
         7,-4.287046574E-02, 7.148830492E-01,-4.287046578E-02, 1.473868577E+03, 2.394553794E+03, 7.212805650E+00, 9.421569039E+00, 1.807301870E+00,-1.218939676E+00, 1.315305092E-01, 8.204074979E-01
         8,-4.386280092E-02, 7.148830492E-01,-4.386280092E-02, 1.454835235E+03, 2.388489799E+03, 7.249369543E+00, 9.345887106E+00, 1.706379182E+00,-1.032405701E+00,-1.683652470E-01, 7.170719484E-01
         9,-4.285844877E-02, 7.204516701E-01,-4.285844888E-02, 1.568197075E+03, 2.480049169E+03, 7.118478902E+00, 9.550737829E+00, 2.275317988E+00,-2.104541175E+00, 4.770783005E-01, 1.179048788E-01
        10,-4.385211591E-02, 7.204516916E-01,-4.385211592E-02, 1.541454463E+03, 2.472651986E+03, 7.151988618E+00, 9.479301574E+00, 2.238016534E+00,-2.085613969E+00, 2.167561738E-01, 3.546221635E-02
        11,-4.284497050E-02, 7.266987527E-01,-4.284497054E-02, 1.690864551E+03, 2.585142917E+03, 7.036732176E+00, 9.651159621E+00, 2.652671189E+00,-2.469583716E+00, 6.695682161E-01,-3.597318212E-01
        12,-4.384012917E-02, 7.266987527E-01,-4.384012918E-02, 1.657538585E+03, 2.576028716E+03, 7.068168066E+00, 9.582566175E+00, 2.688179038E+00,-2.557013774E+00, 4.199362227E-01,-3.951307147E-01
        13,-4.282984876E-02, 7.337068833E-01,-4.282984880E-02, 1.842757854E+03, 2.717638562E+03, 6.965453823E+00, 9.719973262E+00, 2.715234957E+00,-2.451740234E+00, 7.743651794E-01,-6.598227811E-01
        14,-4.382668210E-02, 7.337068833E-01,-4.382668211E-02, 1.804333252E+03, 2.706377908E+03, 6.994929393E+00, 9.653191024E+00, 2.760331875E+00,-2.591719487E+00, 5.202307585E-01,-6.366961514E-01
        15,-4.281288476E-02, 7.415688032E-01,-4.281288480E-02, 2.044399773E+03, 2.889613671E+03, 6.899769434E+00, 9.759350989E+00, 2.564393786E+00,-2.214787384E+00, 8.159268150E-01,-8.356295232E-01
        16,-4.381159543E-02, 7.415687811E-01,-4.381159552E-02, 1.998816595E+03, 2.875349628E+03, 6.926255287E+00, 9.694819802E+00, 2.581690068E+00,-2.371309972E+00, 5.482271757E-01,-7.590186327E-01
        17,-4.279385407E-02, 7.503885282E-01,-4.279385411E-02, 2.322652869E+03, 3.120537512E+03, 6.831417699E+00, 9.774782862E+00, 2.313980405E+00,-1.894901021E+00, 7.969265121E-01,-9.231392976E-01
        18,-4.379467232E-02, 7.503885058E-01,-4.379467241E-02, 2.265386645E+03, 3.101840866E+03, 6.852947481E+00, 9.714912267E+00, 2.289165320E+00,-2.039784278E+00, 5.268404033E-01,-8.144984166E-01
        19,-4.277250490E-02, 7.602827461E-01,-4.277250494E-02, 2.731611585E+03, 3.438019881E+03, 6.753538410E+00, 9.768394728E+00, 2.027572342E+00,-1.575858223E+00, 6.634686914E-01,-9.523993461E-01
        20,-4.377568748E-02, 7.602827235E-01,-4.377568757E-02, 2.660780387E+03, 3.412956894E+03, 6.767829640E+00, 9.716246807E+00, 1.976592064E+00,-1.704313395E+00, 3.909953488E-01,-8.375996654E-01
        21,-4.274855480E-02, 7.713823608E-01,-4.274855483E-02, 3.307545340E+03, 3.870596975E+03, 6.655909813E+00, 9.741284090E+00, 1.659225153E+00,-1.196464743E+00, 4.440864364E-01,-9.066605761E-01
        22,-4.375438975E-02, 7.713823378E-01,-4.375438984E-02, 3.221963735E+03, 3.835888757E+03, 6.660846466E+00, 9.698713611E+00, 1.572493903E+00,-1.291700550E+00, 1.487006959E-01,-7.787814357E-01
        23,-4.272168689E-02, 7.838342237E-01,-4.272168692E-02, 4.117922594E+03, 4.447164643E+03, 6.531995579E+00, 9.701197831E+00, 1.431925383E+00,-8.840154387E-01, 4.269037011E-01,-9.011552200E-01
        24,-4.373049736E-02, 7.838342003E-01,-4.373049745E-02, 4.010099412E+03, 4.397590573E+03, 6.525168210E+00, 9.670987818E+00, 1.287692173E+00,-9.432390908E-01, 1.044969669E-01,-7.538391489E-01
        25,-4.269154444E-02, 7.978030533E-01,-4.269154454E-02, 5.275753630E+03, 5.189411900E+03, 6.391824288E+00, 9.646012817E+00, 1.584299911E+00,-8.386148208E-01, 6.928456508E-01,-1.054493551E+00
        26,-4.370369556E-02, 7.978030770E-01,-4.370369556E-02, 5.136346968E+03, 5.117821685E+03, 6.372539556E+00, 9.631788111E+00, 1.405335274E+00,-9.009289342E-01, 3.664894170E-01,-9.154156484E-01
        27,-4.265773247E-02, 8.134737334E-01,-4.265773251E-02, 6.735476945E+03, 6.093957217E+03, 6.248293842E+00, 9.565508014E+00, 1.911108114E+00,-8.809150166E-01, 1.096520551E+00,-1.229095059E+00
        28,-4.367362564E-02, 8.134737092E-01,-4.367362572E-02, 6.556351360E+03, 5.991455550E+03, 6.218276331E+00, 9.568080312E+00, 1.708984878E+00,-9.546114069E-01, 7.931879622E-01,-1.103673092E+00
        29,-4.261979854E-02, 8.310534960E-01,-4.261979844E-02, 8.376447404E+03, 7.126376120E+03, 6.124645977E+00, 9.456516379E+00, 2.430370478E+00,-9.467167300E-01, 1.698580573E+00,-1.414340990E+00
        30,-4.363989524E-02, 8.310535207E-01,-4.363989525E-02, 8.144185679E+03, 6.987947383E+03, 6.088553952E+00, 9.474990145E+00, 2.266528379E+00,-1.035929850E+00, 1.489494666E+00,-1.305496776E+00
