nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      co_ppm_dry,      no_ppm_dry,          o2_dry,         co2_dry,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
         1,-5.482362670E-02, 7.000000000E-01,-5.485378301E-02, 1.121423279E+03, 2.107728882E+03, 8.300062180E+00, 7.973326921E+00, 1.036535539E+01, 4.050119724E+00,-7.310731698E+00, 6.092945052E+00
         2,-5.351316697E-02, 7.000000000E-01,-5.564469976E-02, 1.099131775E+03, 2.109671997E+03, 8.300183773E+00, 8.000547886E+00, 9.776911845E+00, 3.738087045E+00,-7.278114233E+00, 5.305095669E+00
         3,-5.347300097E-02, 7.000000000E-01,-5.467508249E-02, 1.111102295E+03, 2.109753052E+03, 8.248766899E+00, 8.031945705E+00, 1.018870305E+01, 4.475260721E+00,-7.085199310E+00, 5.758091888E+00
         4,-5.423509012E-02, 7.000000000E-01,-5.423509012E-02, 1.123290955E+03, 2.109292480E+03, 8.248948574E+00, 8.016602516E+00, 1.061858350E+01, 4.672654330E+00,-7.305131571E+00, 6.093669994E+00
         5,-5.231584393E-02, 7.000000000E-01,-5.545492670E-02, 1.093609985E+03, 2.113357788E+03, 8.249381065E+00, 8.061429501E+00, 9.402579640E+00, 3.928368692E+00,-6.970924166E+00, 4.889969618E+00
         6,-5.259301621E-02, 7.000000000E-01,-5.467508249E-02, 1.104901733E+03, 2.112162842E+03, 8.220836639E+00, 8.070547104E+00, 9.796044200E+00, 4.558134961E+00,-6.724445335E+00, 5.432865905E+00
         7,-5.118206197E-02, 7.000000000E-01,-5.505189742E-02, 1.093125977E+03, 2.117623169E+03, 8.191688538E+00, 8.129420757E+00, 8.989430194E+00, 4.243343988E+00,-6.441234012E+00, 4.539950561E+00
         8,-5.183092706E-02, 7.000000000E-01,-5.423509012E-02, 1.105702881E+03, 2.115067261E+03, 8.176240921E+00, 8.118969440E+00, 9.571063884E+00, 4.978681236E+00,-6.196951172E+00, 5.286967602E+00
         9,-5.075862684E-02, 7.000000000E-01,-5.389868821E-02, 1.104528564E+03, 2.119708496E+03, 8.128257751E+00, 8.181605339E+00, 9.158041217E+00, 5.193909881E+00,-5.699413173E+00, 4.886529119E+00
        10,-5.139093468E-02, 7.000000000E-01,-5.347300097E-02, 1.111971619E+03, 2.117533569E+03, 8.129247665E+00, 8.161916256E+00, 9.653126621E+00, 5.641983583E+00,-5.629009104E+00, 5.410268782E+00
        11,-5.055219852E-02, 7.000000000E-01,-5.268727928E-02, 1.116583862E+03, 2.123392456E+03, 8.072091579E+00, 8.228047371E+00, 9.561615030E+00, 5.956465354E+00,-5.229342640E+00, 5.324181438E+00
        12,-5.139093468E-02, 7.000000000E-01,-5.259301621E-02, 1.121384216E+03, 2.119853027E+03, 8.091311932E+00, 8.189373016E+00, 1.001250399E+01, 6.214011101E+00,-5.332959314E+00, 5.748503247E+00
        13,-5.127591512E-02, 7.000000000E-01,-5.144914048E-02, 1.133103333E+03, 2.126795410E+03, 8.038737774E+00, 8.237843513E+00, 1.024010507E+01, 6.385432863E+00,-5.390641210E+00, 5.908745480E+00
        14,-5.183092706E-02, 7.000000000E-01,-5.183092706E-02, 1.132236206E+03, 2.122289795E+03, 8.068904400E+00, 8.197792053E+00, 1.040599914E+01, 6.422825802E+00,-5.497281695E+00, 6.056951316E+00
        15,-5.267896160E-02, 7.000000000E-01,-5.058504962E-02, 1.153142822E+03, 2.131026245E+03, 8.028769970E+00, 8.221178055E+00, 1.063288126E+01, 6.200143534E+00,-6.246920504E+00, 5.926973989E+00
        16,-5.259301621E-02, 7.000000000E-01,-5.139093468E-02, 1.142806946E+03, 2.123936279E+03, 8.065921307E+00, 8.186074257E+00, 1.068885869E+01, 6.328991964E+00,-6.018228440E+00, 6.140395792E+00
        17,-5.385120534E-02, 7.000000000E-01,-5.089097463E-02, 1.160989502E+03, 2.128806763E+03, 8.066486359E+00, 8.169041157E+00, 1.085133315E+01, 5.922672231E+00,-6.943138792E+00, 5.837955042E+00
        18,-5.347300097E-02, 7.000000000E-01,-5.139093468E-02, 1.150857727E+03, 2.124044922E+03, 8.084442139E+00, 8.156567574E+00, 1.086658930E+01, 6.061668336E+00,-6.671861636E+00, 6.037568152E+00
        19,-5.507171067E-02, 7.000000000E-01,-5.120995641E-02, 1.171997253E+03, 2.128732056E+03, 8.105969429E+00, 8.121260643E+00, 1.099400034E+01, 5.507384098E+00,-7.404787738E+00, 5.946444920E+00
        20,-5.423509012E-02, 7.000000000E-01,-5.183092706E-02, 1.153534546E+03, 2.121762451E+03, 8.123019218E+00, 8.113755226E+00, 1.100108544E+01, 5.738381016E+00,-7.167536171E+00, 6.027958782E+00
        21,-5.557704284E-02, 7.000000000E-01,-5.255750337E-02, 1.160763916E+03, 2.119131348E+03, 8.191816807E+00, 8.043447018E+00, 1.105332061E+01, 4.989548562E+00,-7.499560414E+00, 6.373061926E+00
        22,-5.467508249E-02, 7.000000000E-01,-5.259301621E-02, 1.148849121E+03, 2.117112427E+03, 8.173305035E+00, 8.066926479E+00, 1.105953548E+01, 5.383015879E+00,-7.405667618E+00, 6.171807843E+00
        23,-5.524905325E-02, 7.000000000E-01,-5.378978834E-02, 1.140041199E+03, 2.111097412E+03, 8.253212452E+00, 7.999057293E+00, 1.084042357E+01, 4.579490549E+00,-7.451534968E+00, 6.372234395E+00
        24,-5.467508249E-02, 7.000000000E-01,-5.347300097E-02, 1.137515930E+03, 2.111951050E+03, 8.220490456E+00, 8.029953480E+00, 1.094389913E+01, 5.013675522E+00,-7.425284922E+00, 6.251638683E+00
        25,-1.041666667E-02, 7.000000000E-01, 0.000000000E+00, 3.535546484E+04, 1.291771094E+04, 6.305581093E+00, 7.558121443E+00, 7.000120425E+00, 1.675051045E+00, 6.727521206E+00,-9.480652300E-01
        26,-1.045538317E-02, 7.000000000E-01,-1.034512692E-02, 1.945204395E+04, 7.628850342E+03, 6.212434053E+00, 9.459798336E+00, 6.752057069E+00, 1.036710284E+00, 6.543527633E+00,-6.570425800E-01
        27, 6.378368746E-19, 7.000000000E-01,-1.041666667E-02, 3.535546484E+04, 1.291771094E+04, 6.305581093E+00, 7.558121443E+00, 7.000120425E+00, 1.675051045E+00, 6.727521206E+00,-9.480652300E-01
        28, 0.000000000E+00, 7.000000000E-01, 0.000000000E+00, 3.537510938E+04, 1.292436279E+04, 6.305716991E+00, 7.555720568E+00, 7.000226175E+00, 1.675591935E+00, 6.727604206E+00,-9.486613167E-01
        29,-1.030698040E-02, 7.000000000E-01,-2.061910876E-02, 1.029887158E+04, 4.738364502E+03, 6.112142563E+00, 1.061025715E+01, 6.298077111E+00, 1.512498930E-01, 6.228794732E+00,-2.300371847E-01
        30, 1.275673749E-18, 7.000000000E-01,-2.083333333E-02, 1.639756689E+04, 6.501027832E+03, 6.172832489E+00, 9.877345085E+00, 6.871648558E+00, 1.158433806E+00, 6.620377460E+00,-3.586558117E-01
        31,-9.028463410E-03, 7.000000000E-01,-2.975282633E-02, 5.072488037E+03, 3.098088379E+03, 5.936282396E+00, 1.144381332E+01, 5.446804398E+00, 1.770434085E-01, 5.279260768E+00, 7.029160882E-01
        32, 1.913510624E-18, 7.000000000E-01,-3.125000000E-02, 5.726198975E+03, 3.333118530E+03, 5.979825974E+00, 1.125834608E+01, 6.189069235E+00, 2.194199057E+00, 5.375703358E+00, 1.239852752E+00
        33,-7.969891116E-03, 7.000000000E-01,-3.948413587E-02, 3.031493774E+03, 2.319589966E+03, 5.728902102E+00, 1.200353384E+01, 4.464839265E+00, 3.077786404E-01, 3.748325075E+00, 1.625860052E+00
        34, 2.551347498E-18, 7.000000000E-01,-4.166666667E-02, 2.957941040E+03, 2.308159546E+03, 5.756551504E+00, 1.187622213E+01, 5.730806160E+00, 2.788591201E+00, 4.030856142E+00, 2.053478552E+00
        35,-7.219863045E-03, 7.000000000E-01,-4.993058726E-02, 2.625292603E+03, 2.033571228E+03, 5.513704538E+00, 1.241774368E+01, 4.207466809E+00, 5.027162899E-01, 1.975722089E+00, 3.107763306E+00
        36, 3.189184373E-18, 7.000000000E-01,-5.208333333E-02, 2.610063232E+03, 2.029622437E+03, 5.487152576E+00, 1.231800842E+01, 6.519632384E+00, 4.185901357E+00, 2.697347461E+00, 3.357978083E+00
        37,-6.867878770E-03, 7.000000000E-01,-6.026604390E-02, 2.834393066E+03, 1.930471436E+03, 5.308271646E+00, 1.277951288E+01, 5.866796876E+00, 6.794954538E-01, 9.089614497E-01, 5.353146017E+00
        38, 3.827021247E-18, 7.000000000E-01,-6.250000000E-02, 2.961859619E+03, 1.947400024E+03, 5.207585573E+00, 1.272229242E+01, 8.617485813E+00, 5.414654828E+00, 2.075424312E+00, 5.512820323E+00
        39,-7.658963756E-03, 7.000000000E-01,-7.015762896E-02, 3.183347656E+03, 1.881766113E+03, 5.202217817E+00, 1.300872946E+01, 7.698271575E+00, 4.043139379E-01, 3.656177755E-01, 7.282902432E+00
