nodenumber,sound-pressure,rms_spldb
1,386.5475718600181,145.7234590776772
2,387.8420268528181,145.7524974420864
3,390.06431375894687,145.80212447380705
4,389.81140304539315,145.7964908720013
5,385.91676470886216,145.70927299229723
6,380.915010239689,145.59596182063382
7,377.34787802517013,145.51423832924854
8,375.89518049262847,145.4807352363318
9,375.9801861274527,145.48269925749443
10,378.0067106083875,145.52939028210636
11,380.8945143116081,145.59549444561776
12,385.70920437714597,145.7046001423667
13,392.1675461140146,145.84883310095478
14,396.78816594764356,145.95057430695405
15,400.61960409237753,146.03404403533864
16,403.7792623509678,146.10228029279978
17,406.9010644744841,146.16917660655776
18,410.64855665046315,146.2488061008337
19,414.2728170331148,146.3251288371746
20,417.5607515408197,146.3937934981798
21,421.33337060954494,146.47191723971264
22,427.7538737369683,146.60327911071298
23,435.713611892231,146.76342264083334
24,442.31614262145246,146.89405587720944
25,447.62627315965125,146.99771147196958
26,452.74593918505184,147.09649136042648
27,458.86908761068514,147.21317612262308
28,466.41822695555624,147.35491036048512
29,473.96522478384406,147.49432965275406
30,483.9422183646842,147.67527030541802
31,499.39563812460943,147.94829498212164
32,520.6182772695829,148.30978830179242
33,547.038456353169,148.7397572457442
34,573.860718307555,149.15553003884227
35,490.7711455633746,147.79698050396553
36,492.5995973536035,147.82928113701837
37,495.00763644774935,147.87163806302962
38,598.3472627868713,149.5184662594515
39,494.759191302201,147.867277506381
40,489.46767204209596,147.77388034995846
41,477.9322395735111,147.56672663547565
42,465.03713451148917,147.32915276471323
43,454.4184323433815,147.12851886924196
44,445.28683214433516,146.9521971372627
45,622.1481862859516,149.85727687446933
46,439.5876439734168,146.84030962027632
47,436.4983883259908,146.77905297687994
48,434.9226195107701,146.74763998862468
49,435.03010615724423,146.74978635158453
50,648.4650910227795,150.21713211812173
51,436.1703043566706,146.77252197305756
52,439.9867875635306,146.8481927903348
53,444.30955650535276,146.93311317543635
54,448.67007761219276,147.01794222348252
55,676.4186917648553,150.58371208942643
56,452.9880519479275,147.10113503022131
57,455.32450659314435,147.14582059965994
58,456.0275624928079,147.15922193460483
59,702.9491213687129,150.9178779353829
60,453.9963642394318,147.12044758451995
61,449.8723176521657,147.04118549078336
62,446.32156151741606,146.97235744360023
63,729.3635123330018,151.23828075054215
64,443.73299288957446,146.92183450721703
65,440.8372348546766,146.86496547913816
66,754.28383135309,151.53009605439223
67,436.47313701529515,146.7785504860389
68,430.81117131290114,146.66513921492376
69,776.5462652091214,151.78274679287912
70,424.9787051830366,146.54674346639948
71,419.36855897480496,146.4313174325975
72,416.68898710182145,146.37564053483342
73,798.5954207425193,152.0259363979274
74,419.673684577457,146.4376348437829
75,431.02883467389296,146.66952657211047
76,821.647385462251,152.2731096393848
77,453.09947969370864,147.10327135606968
78,846.3671778590248,152.53057634804966
79,480.67569694722107,147.6164433801968
80,508.53031930520626,148.10573711250157
81,615.1639382762116,149.75921745917154
82,616.0674307828976,149.77196508371668
83,618.7979182508665,149.81037696639814
84,622.4987752117331,149.86217011229886
85,625.3296368445406,149.90158032875
86,872.1784247970145,152.79150687202633
87,622.9768220693584,149.86883786630403
88,615.464479056124,149.76345994871784
89,535.9751518638603,148.56229320674908
90,603.9594820143501,149.5995561661685
91,589.9064457440387,149.39506291892766
92,576.5348381540975,149.19591119569017
93,562.2456920652543,148.9779228177148
94,548.8830249619975,148.76899608222766
95,565.9223130206257,149.03453643691284
96,537.7888046358999,148.5916352287182
97,528.806545809954,148.44533653486312
98,897.2634152959555,153.03779929353982
99,522.1017278305717,148.33450269585103
100,516.312252231868,148.23764870866253
101,598.7266369870724,149.52397168822313
102,511.3872423397547,148.1543978749359
103,508.7937329255481,148.11023515161028
104,507.32236697634966,148.08508028754386
105,629.2084617465551,149.95529117646137
106,503.238143128381,148.0148711107577
107,919.9008692380773,153.25422067140326
108,495.498746191346,147.880251284423
109,484.9655685341832,147.6936182020059
110,654.8886331554437,150.30274913638027
111,473.1181519659758,147.47879230270877
112,462.14893252784987,147.27503917151785
113,939.2959648679908,153.43544921972193
114,453.226167943705,147.10569962270415
115,674.4139337819036,150.55793077641115
116,444.2345508062256,146.93164675138146
117,431.96222928823465,146.68831556335005
118,689.0212804561772,150.74405279314485
119,415.5131373077941,146.3510952758419
120,959.487534013472,153.62018681886764
121,396.0012518494307,145.93333126333368
122,376.9953215954338,145.5061193020885
123,702.7519204473313,150.91544090873225
124,363.87795530689095,145.19851500011737
125,984.8304243123845,153.84662922204353
126,360.36263232266293,145.1141950992622
127,716.9251299315579,151.0888761608751
128,374.42333656151703,145.4466582675315
129,407.5762802417199,146.18357811451307
130,733.2471929649805,151.28440826829853
131,1013.4906185593152,154.09579474618047
132,444.59482655864787,146.93868818290002
133,752.8413350009616,151.51346920982277
134,689.1441182497936,150.74560116393195
135,688.9747542175477,150.74346625767743
136,477.3226675241908,147.55564126710712
137,690.5956970043179,150.7638774467139
138,694.97829064201,150.81882485761224
139,704.2746485055756,150.93424119767943
140,716.5516885195809,151.08435056140624
141,727.5713547178965,151.21691192828087
142,734.5811068546536,151.30019517201652
143,737.466613099492,151.33424735735497
144,508.9480912009908,148.1128698845528
145,1044.920125798645,154.36106196741915
146,737.7257605363588,151.3372990624749
147,731.347058435578,151.26187046567625
148,722.6124362452884,151.15750871783231
149,714.7836516437792,151.06289230412867
150,775.3632671122332,151.76950453527598
151,704.5312458978973,150.93740526260083
152,542.3162717196511,148.66445279176875
153,692.0845764022907,150.78258350245545
154,680.532236800194,150.63637413769368
155,671.0754991209361,150.51482774813576
156,663.2776234550291,150.41330700769385
157,575.3789532098317,149.17847952240837
158,655.8705668385008,150.31576292136603
159,799.3645948797898,152.03429826195335
160,1081.0531219460229,154.65634079282052
161,647.5891783765743,150.2053917428682
162,637.9781592912339,150.0755163112484
163,601.674154619081,149.566627215427
164,625.3908208180262,149.90243013853518
165,610.1521690675785,149.68816327693207
166,594.955380986058,149.46908802253006
167,615.9157908706916,149.76982686052395
168,824.4222248642423,152.3023939071802
169,580.4280426807283,149.2543678204524
170,1101.2945660405496,154.81747001376257
171,564.4521603882104,149.01194287873065
172,620.5262265169979,149.83460291996357
173,543.8226518027777,148.68854595197314
174,514.3304178955475,148.20424427851046
175,853.9912440850425,152.60846844511303
176,478.3700950788043,147.57468053190433
177,622.9406207617917,149.86833311285642
178,437.25737649645816,146.79414298122398
179,1074.8471013352575,154.60633387837365
180,398.337308613914,145.98441978087916
181,628.7372657374738,149.94878412828788
182,887.2306762054873,152.94013107137408
183,368.4021778892053,145.3058438658848
184,352.09531907040395,144.9126051143719
185,641.8750651217243,150.12841018677835
186,359.25874813949304,145.08754713140243
187,919.5586839122526,153.25098908742515
188,998.4865844378386,153.96624476892674
189,380.5332527945292,145.58725235611476
190,663.7242670324449,150.41915401815447
191,410.67512082689046,146.24936795850607
192,733.6063730101345,151.28866199664213
193,734.0691098641164,151.29413906759578
194,735.7224648998683,151.31368043070736
195,739.0796684151506,151.35322519259256
196,448.117271225063,147.0072337408434
197,692.0788456011169,150.7825115787133
198,745.5459185662863,151.4288880274991
199,955.871606353686,153.58739131306137
200,753.8459601924749,151.5250523231365
201,763.835126884863,151.63939261919398
202,775.1045470279197,151.76660577904275
203,786.283678672204,151.89098530407296
204,798.0186073290874,152.01966044421448
205,894.9990951178833,153.01585201123953
206,807.2383581391834,152.11943589491452
207,485.85557109263226,147.70954382589355
208,813.4223911272402,152.18572254839077
209,817.8792505302007,152.23318389365915
210,820.2902297944671,152.25875086359815
211,821.5423784247225,152.27199950644646
212,720.377241390437,151.13059976393245
213,527.1443705688221,148.4179915467504
214,822.6409592198273,152.28360667061884
215,825.6580557881467,152.3154045384195
216,1002.1573315803855,153.9981182473526
217,828.7373312297958,152.34773813623679
218,828.5426266018302,152.34569722225564
219,568.3569022120417,149.07182285672968
220,825.8721976919174,152.31765701057319
221,820.6266080607681,152.26231197586327
222,747.1370051358341,151.44740503116054
223,812.2690012847734,152.17339767712798
224,798.1611001840298,152.0212112435508
225,597.8185393692305,149.51078766916658
226,801.4017644372481,152.05640597230052
227,788.2678461028828,151.91287632278863
228,1036.2594856504058,154.2887704666305
229,774.1520246685784,151.75592516579292
230,609.9362263571667,149.68508865614658
231,780.4012602348274,151.82575932763308
232,758.2202593629213,151.5753077753653
233,737.3034780362225,151.33232573829045
234,608.831338559276,149.66934006489706
235,705.9086885640828,150.95437063417404
236,666.1479889817514,150.4508145097224
237,742.1551770957924,151.38929451333541
238,813.5747579372654,152.18734939979737
239,614.8855433750242,149.75528573534274
240,1023.5341401442606,154.18144675075504
241,608.2764286454033,149.66141983509522
242,553.7875944012732,148.84626454129585
243,496.03192879260513,147.88959273153037
244,621.3522664695205,149.84615782322163
245,840.6296017859553,152.4714936689153
246,442.0084565525989,146.8880116546523
247,403.7862144510759,146.10242984147672
248,957.9865217257556,153.6065880640886
249,647.2089518915733,150.20029039879932
250,713.9049237507387,151.05220763205284
251,383.8779863864921,145.6632642480583
252,877.397080547433,152.84332378670274
253,375.49600416441484,145.4715064832403
254,679.2484283096807,150.6199729305514
255,381.8842106767412,145.61803413621234
256,773.7718804552228,151.75165894735775
257,774.3314641021535,151.75793822067536
258,776.3594336891845,151.78065677804815
259,780.308876625188,151.82473103439696
260,864.9352478545,152.7190720035983
261,784.7689064204285,151.87423583456734
262,786.6739336207412,151.89529528859734
263,401.9239779173165,146.0622784074533
264,786.6275937241646,151.89478362160838
265,786.7650234533612,151.89630097900638
266,707.9074136597724,150.97892929797234
267,787.7899419638802,151.90760872058826
268,932.6376226551081,153.37365870544284
269,790.0270550336496,151.9322393720388
270,794.6991579005168,151.98345514309818
271,800.573172727301,152.0474207421044
272,806.4995214810194,152.11148236763748
273,441.62493388960127,146.88047179531762
274,672.014489727117,150.52697283174598
275,813.9157366684195,152.19098899545816
276,820.7664870174469,152.26379239293945
277,826.8876253039662,152.32832993855789
278,834.7091666724134,152.41010374463036
279,729.8289612446878,151.2438219496497
280,493.4421605932531,147.8441251596673
281,842.2570915148965,152.48829361229343
282,849.4505120627903,152.5621617363638
283,857.5462793524847,152.64455142661564
284,977.301101443488,153.7799678513529
285,776.949859704855,151.7872599387713
286,541.0605947031473,148.64431819741225
287,866.1490185428103,152.73125243892076
288,875.3300258999124,152.8228366078351
289,758.1900365793576,151.57496154748313
290,883.731496385808,152.90580675913253
291,578.1265106851322,149.21985778525118
292,888.322190740854,152.95081030955768
293,889.1188334685629,152.9585962795932
294,635.5677641228609,150.04263732191464
295,886.1393148684315,152.9294401886216
296,598.1008466427012,149.5148884302975
297,966.8763241245938,153.68681860281066
298,877.0383025674465,152.8397712979509
299,788.6029847293358,151.91656841615446
300,859.4746187998607,152.66406120740467
301,712.9151365200382,151.0401568005998
302,829.5706831715806,152.3564680025131
303,609.5244484570237,149.6792226899767
304,784.5225452417397,151.87150865979748
305,725.8582118355837,151.19643597644463
306,811.4145457748353,152.16425586256875
307,629.1295223885539,149.95420139206124
308,895.8575653296398,153.02417939807367
309,661.82494765362,150.39426276610712
310,594.5217714027715,149.46275534914378
311,645.2078354505887,150.1733927437709
312,657.2081320104666,150.3334586581045
313,663.5736042157072,150.41718213131173
314,536.2747110595021,148.5671464378309
315,848.7390911625035,152.5548841935313
316,489.5130969962388,147.77468640489082
317,686.0681845427455,150.70674568654408
318,801.609331283835,152.05865536750042
319,445.51887045404413,146.95672216261815
320,408.93312013471274,146.21244581012027
321,916.2504746862618,153.2196843396456
322,708.0428919735097,150.98059143213112
323,385.352002204723,145.69655248326103
324,732.0251864753625,151.26992056469396
325,731.6939010817925,151.26598878783756
326,731.9858097758147,151.26945332548942
327,618.6022056241166,149.80762936962952
328,733.8113462890612,151.29108853854314
329,685.8574339439813,150.70407709222417
330,736.3364571480682,151.32092615862746
331,737.3438638698735,151.33280149528557
332,736.4506526079308,151.32227311387572
333,734.8712464916612,151.3036251857814
334,732.2102617181545,151.27211630875163
335,390.87559755120725,145.82017125030714
336,730.3747767324272,151.25031541790588
337,721.9904720293442,151.1500294128394
338,731.5132050335367,151.26384349215846
339,722.2955285001387,151.15369861253686
340,734.9784530999302,151.30489223338475
341,739.7754445193285,151.3613983190155
342,974.3308768412606,153.75352940055768
343,745.0978753900627,151.42366658732038
344,431.822513017998,146.68550569636568
345,749.2722646719321,151.47219322465952
346,753.1308752340097,151.51680913140157
347,758.9625262422137,151.58380674961032
348,765.5204332618955,151.65853583415853
349,484.21761007637286,147.6802116839161
350,772.8549670844761,151.74136013573207
351,737.0559778521498,151.32940954401252
352,783.4159642159647,151.85924843121924
353,797.7225590091412,152.0164375618093
354,815.2584164559656,152.2053059069706
355,530.4727546246472,148.47266175080668
356,963.721835644578,153.65843407022746
357,601.0240887665925,149.55723766017803
358,662.2962707608273,150.4004462795333
359,834.5289222641903,152.40822793907074
360,855.0796911487854,152.6195319207779
361,752.6124634052195,151.51082820756906
362,725.5403446902936,151.1926314267222
363,873.9286783944586,152.8089199100351
364,566.8459042556229,149.04870034651623
365,889.8026436085753,152.96527392082538
366,901.3213312194782,153.07699307603588
367,595.5770889549048,149.47815974032312
368,904.5538716916243,153.10808882366516
369,880.2608651735529,152.87162797328415
370,769.1876242860927,151.70004584902435
371,893.397204525173,153.0002918709906
372,865.250068402951,152.7222329327128
373,612.7730254658197,149.72539287100017
374,623.9355033860411,149.88219406077826
375,827.6609469504979,152.33644935805185
376,625.5138131117087,149.90413817840283
377,779.7035605905869,151.81799043616692
378,804.1727642327916,152.08638729285386
379,653.2486625124351,150.28097067088632
380,723.7898746854952,151.17165015348826
381,779.8934245719776,151.8201052614871
382,740.8760102541306,151.37431073569752
383,672.1261882792703,150.52841643257563
384,679.5070347764818,150.62327923152824
385,624.0487020102694,149.88376977104073
386,869.7186723145443,152.76697597081952
387,575.7019008496854,149.1833533548978
388,573.0554537591318,149.14333308789375
389,700.43559283596,150.8867642221416
390,517.4517224892974,148.25679682593534
391,672.5098808751562,150.53337347888683
392,707.9917966801717,150.9799645999176
393,460.61907982797555,147.24623855487235
394,930.3958027259866,153.35275493675474
395,715.8615622607318,151.0759809641811
396,620.8463778048532,149.8390831200353
397,619.9581343179221,149.82664733963355
398,618.7219859110573,149.80931106043224
399,422.4602909819378,146.4951179634221
400,618.2079929277182,149.80209240349717
401,618.4099864226206,149.80492997055381
402,618.9976142059606,149.81317958928162
403,619.7437457432934,149.8236431407251
404,620.9357306253497,149.8403331118555
405,621.4780158056651,149.84791549661458
406,728.1578091533834,151.223910316314
407,622.874253914577,149.86740768625765
408,571.6634661749824,149.1222088515728
409,625.9335205528201,149.90996428478763
410,427.901075748069,146.60626765284974
411,629.1581678263129,149.95459686777477
412,633.0508852672856,150.00817249568013
413,727.2669409264389,151.2132770162176
414,637.3873399007307,150.0674687477973
415,654.5325294910317,150.29802479360458
416,642.1364153872715,150.13194607353518
417,928.2829060127978,153.3330071498065
418,647.3175432013343,150.2017476298997
419,466.42938573622536,147.35511816278012
420,652.8955603454255,150.27627439542968
421,659.8460607298222,150.36825265290713
422,667.6410536460521,150.47026076381368
423,717.9523360258676,151.10131234515785
424,676.8401402028253,150.58912222184486
425,508.660717821169,148.10796408282175
426,743.5707494009447,151.4058460297606
427,688.6389948252462,150.7392323146201
428,704.5224333639865,150.93729661564421
429,724.7122204544902,151.18271178007103
430,546.3429446687146,148.72870686836933
431,750.3183710508586,151.48431168661108
432,852.3286507094947,152.59154183341823
433,780.8163162289535,151.83037768537883
434,603.209493410224,149.58876344499024
435,602.5507786725967,149.57927312719545
436,813.8689284933391,152.19048945685
437,773.3900758801183,151.74737198508285
438,581.1798668977057,149.2656113098155
439,849.8896372095405,152.56665076423562
440,698.4908771732985,150.8626148520832
441,884.7255371319101,152.91557134935107
442,914.3018337382181,153.2011919026534
443,614.8471571585915,149.75474347369592
444,928.6859024768002,153.33677714621115
445,817.6154834081677,152.23038223115978
446,754.4054223751353,151.53149611235398
447,742.5575500616867,151.3940024506983
448,921.526549830737,153.26955712804215
449,641.3678258088756,150.12154348219406
450,890.0075933679125,152.96727432621898
451,560.6434172266476,148.95313463204548
452,836.7149866047932,152.4309510429011
453,649.4401187438541,150.23018235431576
454,870.8240694853264,152.77800857449185
455,656.170969244431,150.31974032927388
456,779.728645911135,151.8182698818843
457,686.1974497325933,150.70838207989001
458,731.1857551001262,151.259954525107
459,697.9611823548966,150.85602548021933
460,668.8161735326834,150.48553542291933
461,679.1351042333956,150.6185236779675
462,902.5458053303415,153.08878512924167
463,661.0749318007106,150.38441386412393
464,556.9598380028527,148.89587767915012
465,735.9765075466333,151.31667912331557
466,691.2197808433549,150.77172324639736
467,607.8661555517896,149.65555935953242
468,639.4848502286249,150.0960052916285
469,693.5998838148686,150.8015803211075
470,550.7526732897269,148.7985323635817
471,516.7811683007903,148.24553367515816
472,516.0991075290692,148.23406224794752
473,880.2367855124963,152.8713903662889
474,514.8140365215564,148.2124076773484
475,513.5137056594223,148.19044087451286
476,721.3041878298425,151.14176916019346
477,512.5456071870913,148.17405040102
478,507.12460045314833,148.08169365764297
479,512.4274762145204,148.17204825557494
480,513.3458145403778,148.18760059555447
481,515.217854071893,148.21921817494146
482,517.2938865176233,148.2541470039316
483,520.0175402952597,148.2997599411459
484,523.544944378749,148.3584794902206
485,527.3114834422631,148.4207446709944
486,531.5301662993274,148.4899584342007
487,510.8412580693002,148.1451194023315
488,535.7167775707069,148.55810504301007
489,539.6534698397526,148.62169956297765
490,590.5662286961433,149.4047722542268
491,543.6807329925684,148.68627894085893
492,756.9941212222633,151.56125022280781
493,547.9795887061526,148.7546877280363
494,590.8800194784384,149.40938617918994
495,541.3179861940401,148.6484492365242
496,553.0173036071633,148.83417449377416
497,810.4690140788613,152.15412839707832
498,558.7522459345495,148.92378572298855
499,565.2254107833987,149.02383364971791
500,573.1242521225203,149.14437581267646
501,704.1262225148068,150.93241045217718
502,571.4361199310628,149.1187538517909
503,583.6287633117972,149.30213383338892
504,695.891820890343,150.8302347283015
505,716.5429445153101,151.08424456776933
506,799.0570803768072,152.03095616880069
507,598.1461889721922,149.5155468870516
508,617.5828346635959,149.7933044176496
509,604.9615017858257,149.6139548493908
510,644.110944581293,150.15861365968115
511,677.7845146896993,150.60123293291048
512,724.2079874946864,151.17666629600154
513,721.3067127694543,151.14179956526914
514,553.9113723171233,148.84820572090058
515,633.4968659781708,150.01428950057277
516,835.6449496207808,152.41983594235512
517,642.9883913058733,150.14346272911422
518,775.0018262268471,151.76545460444163
519,837.0700194711682,152.43463583674293
520,903.363652212619,153.09665233234676
521,676.8601965040664,150.58937960054888
522,959.0818178299583,153.61651324194582
523,852.8027679016951,152.59637211179813
524,654.0121651681676,150.2911166194525
525,991.3797332562946,153.90420081455807
526,708.0273706797896,150.98040102315517
527,684.9765628092217,150.69291432483863
528,978.7614802649803,153.79293746873495
529,678.2143750688449,150.60673989898
530,557.8899483707587,148.9103708207016
531,929.4019530638437,153.34347170229867
532,865.8859253109058,152.72861369447446
533,671.2846240335733,150.51753407990932
534,728.9562173035696,151.23342897531637
535,673.327111070182,150.54392211471392
536,847.173900973519,152.53885144519205
537,809.1395237351103,152.13986839693032
538,601.3306191374148,149.56166645146874
539,773.1514918954774,151.7446920517146
540,683.0541272987815,150.66850248409233
541,737.5493653430694,151.33522195948305
542,822.6855239534839,152.2840771965143
543,593.1115880492927,149.44212827154155
544,691.0084643320125,150.76906743044665
545,727.3260447143449,151.2139828754982
546,675.9807680749082,150.57808689201002
547,639.0139895695341,150.08960740720755
548,553.2816211965695,148.83832496956904
549,449.1895646049864,147.02799325368628
550,448.84728521166,147.02137214191254
551,689.3201521145606,150.74781959028235
552,682.4046099239273,150.66023912686637
553,448.079920878769,147.00650974619379
554,447.1451653854191,146.98837087558107
555,446.2538033099022,146.9710386971126
556,445.7568475560396,146.96136055419927
557,445.9325439503074,146.96478344904293
558,781.2143122873442,151.8348039108974
559,446.86416167098787,146.98291060294645
560,778.8947344600172,151.8089754447359
561,612.7070312235985,149.72445737033314
562,448.4684514318611,147.0140380264755
563,450.58361322484126,147.05490795274403
564,453.13502337793034,147.10395269962387
